6, user1, 597426924, 1
10, user38, 223730304, 3
9, user11, 760277048, 2
4, user37, 593274723, 1
6, user21, 186781178, 3
2, user39, 841798996, 3
9, user7, 589481441, 1
5, user34, 740622042, 2
8, user44, 177488323, 3
9, user34, 385374142, 2
8, user28, 667275000, 1
5, user6, 119549452, 1
4, user11, 686313344, 2
1, user16, 707430739, 3
8, user36, 993429537, 3
5, user16, 354588764, 2
10, user26, 650019437, 2
6, user48, 199767386, 1
7, user41, 854757323, 2
4, user13, 559627848, 1
5, user20, 175668764, 1
8, user11, 53528828, 3
9, user20, 13632575, 3
3, user46, 845835508, 1
8, user24, 812010806, 1
4, user36, 543449176, 3
9, user34, 263657797, 1
7, user30, 120398880, 2
10, user46, 736776129, 1
5, user7, 524665518, 2
5, user47, 213268709, 1
2, user20, 799276863, 2
6, user25, 22636328, 2
6, user36, 69560527, 3
1, user3, 877077010, 3
4, user39, 223373571, 2
4, user1, 986281472, 2
7, user4, 456851605, 3
9, user48, 429991858, 1
6, user33, 750055327, 3
5, user19, 536748253, 2
9, user14, 758043237, 1
8, user19, 892831509, 1
8, user15, 613811329, 1
3, user13, 16594106, 3
10, user2, 876640909, 3
1, user15, 949562939, 1
4, user38, 198440190, 3
2, user23, 263895558, 2
4, user35, 18277087, 2
7, user37, 278360234, 1
8, user17, 55934024, 1
3, user8, 650209679, 3
8, user5, 565782574, 1
10, user44, 198502970, 3
10, user30, 221911907, 3
10, user48, 998473479, 2
4, user7, 786424501, 1
2, user31, 612595762, 3
5, user3, 869129537, 3
10, user23, 970663996, 1
9, user34, 785594059, 2
5, user20, 845100369, 1
4, user37, 352445868, 2
4, user38, 138471940, 3
7, user43, 434987573, 3
9, user9, 804040303, 3
4, user23, 746559067, 1
5, user16, 22917170, 2
6, user34, 529978935, 1
8, user31, 826272595, 3
9, user28, 219316253, 1
1, user1, 784897366, 3
1, user24, 701482147, 3
6, user30, 785009819, 1
3, user42, 562022956, 2
1, user32, 740486280, 3
6, user8, 439992328, 2
6, user6, 838470736, 1
9, user43, 678296219, 2
3, user14, 625227877, 1
2, user48, 662191965, 2
5, user20, 231031415, 2
4, user26, 169933564, 2
10, user7, 805420838, 3
7, user30, 833112395, 2
5, user34, 555099974, 2
8, user23, 781260057, 2
3, user12, 670210458, 1
1, user43, 529827750, 2
1, user49, 572713759, 2
2, user21, 313405692, 3
7, user17, 439424398, 2
7, user14, 802325994, 1
7, user35, 325342729, 2
2, user32, 687337086, 1
9, user15, 866145113, 2
3, user37, 48885896, 3
3, user23, 437297840, 2
5, user21, 119712617, 1
3, user27, 163228136, 2
4, user44, 587608987, 3
6, user45, 620501894, 3
3, user38, 688840663, 1
1, user35, 625419048, 3
4, user26, 322157215, 2
9, user40, 717110148, 2
2, user47, 13572600, 1
6, user33, 817358841, 3
6, user11, 881754370, 1
4, user9, 30196823, 2
5, user36, 654948714, 3
6, user4, 704348854, 2
7, user23, 388102435, 1
2, user32, 819809262, 2
8, user2, 544240062, 2
3, user37, 200213832, 2
5, user49, 561268167, 3
6, user10, 34159223, 3
10, user47, 489852651, 2
8, user16, 894562662, 2
3, user8, 806617507, 1
9, user38, 16147128, 2
2, user8, 762224059, 3
3, user48, 254322377, 3
4, user40, 576356072, 3
4, user6, 501570651, 1
7, user35, 220974952, 2
3, user13, 802836057, 1
8, user45, 567964646, 2
7, user35, 620656820, 2
5, user1, 913276749, 2
6, user17, 819556914, 3
4, user26, 63127748, 1
6, user26, 92327092, 1
8, user43, 429440257, 1
8, user9, 784075230, 1
4, user19, 686696350, 2
1, user3, 144198451, 3
8, user24, 341805392, 2
9, user20, 417114192, 3
7, user18, 948573611, 1
9, user3, 123140506, 3
